key,cz
Cultiway.Plant,植物
Cultiway.Plant Description,能够吸收浊气产生灵气并进行修炼的灵植
Cultiway.ConstraintSpirit,地缚灵
Cultiway.Ming,冥族
Cultiway.XXX,XXX
Cultiway.XXX Description,XXX
Cultiway.AcaciaTreants,金合欢树人
Cultiway.AcaciaTreants Description,金色枝条，缠绕生机。
Cultiway.BanyanTreants,榕树人
Cultiway.BanyanTreants Description,根须如网，笼罩天地。
Cultiway.CoconutTreants,椰树人
Cultiway.CoconutTreants Description,摇曳椰林，风暴中的坚盾。
Cultiway.OakTreants,橡树人
Cultiway.OakTreants Description,古老根脉，大地守护者。
Cultiway.SycamoreTreants,梧桐树人
Cultiway.SycamoreTreants Description,凤凰栖木，鸣响生命之诗。
Cultiway.DeathTreants,死亡树人
Cultiway.DeathTreants Description,枯爪之下，万物凋零。
Cultiway.FireTreants,燃火树人
Cultiway.FireTreants Description,烈焰焚枝，燃尽入侵之敌。
Cultiway.BloodBeast,嗜血野兽
Cultiway.BloodBeast Description,獠牙沾血，狩猎永不终止。
Cultiway.Bloodsucker,鲜血贵族
Cultiway.Bloodsucker Description,优雅举杯，盛满敌人之血。
Cultiway.Bloodthirsty,渴血者
Cultiway.Bloodthirsty Description,血色瞳孔，追逐鲜活脉搏。
Cultiway.DestroyRobot,毁灭机器人
Cultiway.DestroyRobot Description,钢铁铁蹄，踏平一切防线。
Cultiway.FortRobot,堡垒机器人
Cultiway.FortRobot Description,不动如山，战场永恒壁垒。
Cultiway.TankRobot,坦克机器人
Cultiway.TankRobot Description,重炮轰鸣，碾碎前路阻碍。
Cultiway.FishPeopleShaman,鱼人萨满
Cultiway.FishPeopleShaman Description,潮汐之力，呼唤深海怒涛。
Cultiway.FishPeopleSoldiers,鱼人小兵
Cultiway.FishPeopleSoldiers Description,群聚如潮，撕碎海岸防线。
Cultiway.FishPeopleWarrior,鱼人战士
Cultiway.FishPeopleWarrior Description,三叉破浪，为部落而战！
Cultiway.Mummy,木乃伊
Cultiway.Mummy Description,绷带缠魂，千年诅咒苏醒。
Cultiway.Pharaoh,法老
Cultiway.Pharaoh Description,权杖所指，黄沙皆为王土。
Cultiway.Anubis,阿努比斯
Cultiway.Anubis Description,秤量心脏，审判生死之门。
Cultiway.Ossaurus,灵火骨龙
