key,cz
Cultiway.ArtifactAtom.sword_edge.Name,玄锋剑式
Cultiway.ArtifactAtom.sword_edge.Description,提供锋锐、机动和御剑穿刺语义，倾向生成直接进攻型飞剑。
Cultiway.ArtifactAtom.heavy_seal.Name,镇岳法印
Cultiway.ArtifactAtom.heavy_seal.Description,提供坚硬、镇压、稳定和法域投射语义，倾向生成重压封禁型法印。
Cultiway.ArtifactAtom.robe_ward.Name,护身法袍
Cultiway.ArtifactAtom.robe_ward.Description,提供柔韧、守护、机动和护主语义，倾向生成贴身防护法袍。
Cultiway.ArtifactAtom.bright_mirror.Name,明鉴宝镜
Cultiway.ArtifactAtom.bright_mirror.Description,提供反射、感知、灵性和洞察语义，倾向生成观照与反制法镜。
Cultiway.ArtifactAtom.cauldron_fire.Name,丹火法鼎
Cultiway.ArtifactAtom.cauldron_fire.Description,提供容量、炼丹、稳定和蓄灵语义，倾向生成火炼与生产辅助法鼎。
Cultiway.ArtifactAtom.sword_swarm.Name,分光剑
Cultiway.ArtifactAtom.sword_swarm.Description,强化机动、共鸣和御剑穿刺，倾向显化多剑阵列能力。
Cultiway.ArtifactAtom.sword_breaker.Name,破军剑
Cultiway.ArtifactAtom.sword_breaker.Description,强化锋锐、坚硬、穿刺和束缚，倾向显化重击破甲能力。
Cultiway.ArtifactAtom.prison_seal.Name,镇狱印
Cultiway.ArtifactAtom.prison_seal.Description,强化镇压、束缚、法域和稳定，倾向显化囚禁封禁能力。
Cultiway.ArtifactAtom.command_seal.Name,敕令印
Cultiway.ArtifactAtom.command_seal.Description,兼顾镇压、守护、法域和增幅，倾向显化号令型法印。
Cultiway.ArtifactAtom.cloud_robe.Name,流云袍
Cultiway.ArtifactAtom.cloud_robe.Description,强化柔韧、机动、守护、隐匿和护主能力。
Cultiway.ArtifactAtom.vitality_robe.Name,生机袍
Cultiway.ArtifactAtom.vitality_robe.Description,强化续生、守护和净化，倾向显化恢复型法袍。
Cultiway.ArtifactAtom.soul_mirror.Name,照魂镜
Cultiway.ArtifactAtom.soul_mirror.Description,强化感知、反射、洞察和共鸣，倾向显化识魂破妄能力。
Cultiway.ArtifactAtom.void_mirror.Name,太虚镜
Cultiway.ArtifactAtom.void_mirror.Description,强化反射、洞察、镇压和法域，倾向显化虚空控制能力。
Cultiway.ArtifactAtom.spirit_ding.Name,聚灵鼎
