key,cz
GeneralSettings,一般设置
SPAWN_ELEMENT_ROOT_NATURALLY,自然诞生灵根概率
SPAWN_ELEMENT_ROOT_NATURALLY Description,自然诞生灵根的概率，0为禁用，1为100%
ENABLE_GEO_SYSTEMS,启用地理演化
ENABLE_GEO_SYSTEMS Description,启用地理演化系统，开启后世界地图上的地形会随着时间推移发生变化
ENABLE_CULTIBOOK_SYSTEMS,启用功法系统
ENABLE_CULTIBOOK_SYSTEMS Description,启用功法系统，开启后小人可以通过研究功法来学习新的技能
ENABLE_TALISMAN_SYSTEMS,启用符箓系统
ENABLE_TALISMAN_SYSTEMS Description,启用符箓系统，开启后小人可以制作符箓来释放各种临时法术
ENABLE_ELIXIR_SYSTEMS,启用丹药系统
ENABLE_ELIXIR_SYSTEMS Description,启用丹药系统，开启后小人可以炼制丹药来获得各种增益效果
ENABLE_AM_SYSTEMS,启用师徒系统
ENABLE_AM_SYSTEMS Description,启用师徒系统，开启后小人可以收徒和当师傅，进行师徒互动
ENABLE_SKILL_SYSTEMS,启用技能系统
ENABLE_SKILL_SYSTEMS Description,启用技能系统，开启后小人可以学习和使用各种技能
ENABLE_SECT_SYSTEMS,启用宗门系统
ENABLE_SECT_SYSTEMS Description,启用宗门系统；关闭后不会再建立新宗门，已有宗门不会被销毁
ENABLE_WAKAN_SPREAD,启用灵气扩散
ENABLE_WAKAN_SPREAD Description,启用灵气在相邻地块之间自然流动
ENABLE_NATURAL_HEALTH_RESTORE,启用自然生命回复
ENABLE_NATURAL_HEALTH_RESTORE Description,启用单位按月根据生命回复属性自然恢复生命
ENABLE_NATURAL_WAKAN_RESTORE,启用自然灵气吸收
ENABLE_NATURAL_WAKAN_RESTORE Description,启用修士按月从脚下地块自然吸收灵气
ENABLE_NATURAL_MAGIC_RESTORE,启用魔法资源自然恢复
ENABLE_NATURAL_MAGIC_RESTORE Description,启用魔法师按月自然恢复 mana 和精神力；精神力只会恢复到上限的六成
PerformanceSettings,性能设置
ENABLE_FRAME_PRIORITY_SCHEDULER,启用帧优先调度
ENABLE_FRAME_PRIORITY_SCHEDULER Description,在完整执行每个逻辑 tick 的前提下将模拟工作分摊到多个渲染帧，优先维持画面帧率
TARGET_RENDER_FPS,目标渲染帧率
TARGET_RENDER_FPS Description,调度器尝试维持的目标帧率；目标越高，每帧可用于模拟的时间越少
MAX_SIMULATION_MS_PER_FRAME,每帧最大模拟时间
MAX_SIMULATION_MS_PER_FRAME Description,单个渲染帧允许用于模拟的最大时间，单位为毫秒；数值越高模拟更快，但更容易降低帧率
ENABLE_PRESENTATION_SMOOTHING,启用角色表现平滑
ENABLE_PRESENTATION_SMOOTHING Description,对可见角色的渲染位置进行预测和平滑处理；关闭后直接使用逻辑位置，仅影响画面表现
ENABLE_SCHEDULER_DIAGNOSTICS,启用调度诊断日志
ENABLE_SCHEDULER_DIAGNOSTICS Description,定期输出帧预算、当前阶段、实际模拟速度和逻辑 tick 完成情况，供性能诊断使用
AIGCSettings,AI生成内容相关设置
BASE_URL,模型供应Base URL
API_KEY,API密钥
MODEL,模型
AnimSettings,动画相关设置
ALL_RENDER,始终渲染所有
RealmVisualSettings,境界视觉表现设置
REALM_VISUAL_ENABLED,启用境界视觉表现
AURA_ENABLED,启用光晕效果
PARTICLE_ENABLED,启用元素粒子效果
INDICATOR_ENABLED,启用境界标识
BREAKTHROUGH_VISUAL_ENABLED,启用突破异象
