key,cz
Cultiway.ControlledTask.UI.Title,下达任务
Cultiway.ControlledTask.UI.Entry,任务指令
Cultiway.ControlledTask.UI.EntrySummary,当前可执行 {0}/{1} · 快捷键 {2}
Cultiway.ControlledTask.UI.EntryMultiple,首版只能向当前单个主控角色下达任务
Cultiway.ControlledTask.UI.Unavailable,当前不可执行
Cultiway.ControlledTask.UI.Search,搜索任务
Cultiway.ControlledTask.UI.NoResults,没有匹配的任务
Cultiway.ControlledTask.UI.Execute,执行
Cultiway.ControlledTask.UI.SelectLocation,选择地点
Cultiway.ControlledTask.UI.ConfirmExecute,确认执行
Cultiway.ControlledTask.UI.ConfirmDescription,这项任务会消耗资源或产生不可逆结果，请再次确认。
Cultiway.ControlledTask.UI.InputHint,执行后退出附体
Cultiway.ControlledTask.UI.TargetValid,{0} · 目标可提交
Cultiway.ControlledTask.UI.TargetInvalid,无法提交 · {0}
Cultiway.ControlledTask.UI.Previous,上一条任务
Cultiway.ControlledTask.UI.Next,下一条任务
Cultiway.ControlledTask.UI.Locate,定位角色
Cultiway.ControlledTask.UI.Cancel,取消任务
Cultiway.ControlledTask.UI.CancelDescription,仅在订单仍拥有角色当前任务时取消
Cultiway.ControlledTask.UI.TrackerSummary,{0} · {1} · {2}
Cultiway.ControlledTask.Target.None,无目标
Cultiway.ControlledTask.Target.WorldTile,世界位置
Cultiway.ControlledTask.Category.All,全部
Cultiway.ControlledTask.Category.Movement,移动
Cultiway.ControlledTask.Category.Cultivation,修炼
Cultiway.ControlledTask.Category.Crafting,制作
Cultiway.ControlledTask.Category.Research,研习
Cultiway.ControlledTask.Category.Sect,宗门
Cultiway.ControlledTask.Category.Affairs,事务
Cultiway.ControlledTask.State.Running,执行中
Cultiway.ControlledTask.State.Completed,已完成
Cultiway.ControlledTask.State.Failed,失败
Cultiway.ControlledTask.State.Interrupted,被打断
Cultiway.ControlledTask.State.Cancelled,已取消
Cultiway.ControlledTask.State.ActorLost,角色失效
Cultiway.ControlledTask.Reason.TargetUnexpected,该任务不接受位置目标
Cultiway.ControlledTask.Reason.TargetMissing,鼠标位置没有有效地块
Cultiway.ControlledTask.Reason.CommandMissing,任务命令已失效
Cultiway.ControlledTask.Reason.TargetModeChanged,任务目标模式已变化
Cultiway.ControlledTask.Reason.TaskMissing,底层任务资产不存在
Cultiway.ControlledTask.Reason.InternalError,任务资格检查发生内部错误
Cultiway.ControlledTask.Reason.StartFailed,任务启动失败
Cultiway.ControlledTask.Reason.ExecutionFailed,任务未到达正常完成步骤
Cultiway.ControlledTask.Reason.Cancelled,玩家取消了任务
Cultiway.ControlledTask.Reason.ExternalInterrupt,角色当前任务已被其他系统替换
Cultiway.ControlledTask.Reason.DirectControlInterrupt,玩家重新附体打断了任务
Cultiway.ControlledTask.Reason.ActorLost,角色已经死亡或离开世界
Cultiway.ControlledTask.Reason.ActorUnavailable,角色当前状态不能执行任务
Cultiway.ControlledTask.Reason.NotSingleControlledActor,只能向当前单个主控角色下达任务
Cultiway.ControlledTask.Reason.ActorCannotMove,角色当前没有可用的移动起点
Cultiway.ControlledTask.Reason.TargetBlocked,目标地块不可通行
Cultiway.ControlledTask.Reason.TargetDangerous,目标地块会直接伤害该角色
Cultiway.ControlledTask.Reason.RequiresXian,需要仙路修炼体系
Cultiway.ControlledTask.Reason.ProgressionReady,角色当前应先处理境界进阶
Cultiway.ControlledTask.Reason.CultivationResourceFull,当前修炼资源已经充满
Cultiway.ControlledTask.Reason.CultivationMethodUnavailable,当前功法的修炼方式不可用
Cultiway.ControlledTask.Reason.RequiresHome,该修炼方式需要有效住宅
Cultiway.ControlledTask.Reason.CultivationMethodMismatch,当前功法不使用这类修炼活动
Cultiway.ControlledTask.Reason.NoCultivationSite,附近没有符合功法要求的修炼地点
Cultiway.ControlledTask.Reason.RequiresMagic,需要魔法修炼体系
Cultiway.ControlledTask.Reason.RequiresKnight,需要骑士修炼体系
Cultiway.ControlledTask.Reason.RequiresTrainingDummy,所属城市没有可用训练假人
Cultiway.ControlledTask.Reason.CannotCraftMagicScroll,没有可支付法力成本的已掌握法术
Cultiway.ControlledTask.Reason.CannotFoundSect,当前不满足创立宗门的境界、传承或驻地条件
Cultiway.ControlledTask.Reason.CannotStudySectScripture,没有可访问且值得研读的宗门经卷
Cultiway.ControlledTask.Reason.CannotDoSectChore,当前没有权限或条件处理宗门杂务
Cultiway.ControlledTask.Reason.CannotOrganizeSectScripture,当前没有权限或经卷可供整理
Cultiway.ControlledTask.Command.MoveToTile.Name,前往指定位置
Cultiway.ControlledTask.Command.MoveToTile.Description,角色将尝试移动到选定地块；提交有效不代表异步寻路一定成功。
Cultiway.ControlledTask.Command.XianCultivate.Name,闭关吐纳
Cultiway.ControlledTask.Command.XianCultivate.Description,返回住宅并按当前功法积累灵气。
Cultiway.ControlledTask.Command.PlantCultivate.Name,植修吐纳
Cultiway.ControlledTask.Command.PlantCultivate.Description,在野外按当前植物修炼方式净化并吸收灵气。
Cultiway.ControlledTask.Command.EnvironmentalCultivate.Name,寻觅灵地修炼
Cultiway.ControlledTask.Command.EnvironmentalCultivate.Description,寻找附近符合当前功法环境规则的地点进行修炼。
Cultiway.ControlledTask.Command.MagicMeditate.Name,魔法冥想
Cultiway.ControlledTask.Command.MagicMeditate.Description,原地冥想并积累精神力，资源充满后结束。
Cultiway.ControlledTask.Command.KnightTrain.Name,骑士操练
Cultiway.ControlledTask.Command.KnightTrain.Description,前往所属城市的训练假人处操练并积累斗气。
Cultiway.ControlledTask.Command.CraftMagicScroll.Name,制作魔法卷轴
Cultiway.ControlledTask.Command.CraftMagicScroll.Description,自动选择一个已掌握且能支付法力成本的法术制作卷轴。
Cultiway.ControlledTask.Command.FoundSect.Name,创立宗门
Cultiway.ControlledTask.Command.FoundSect.Description,以当前角色、可用弟子、功法和驻地创建一个新宗门。
Cultiway.ControlledTask.Command.StudySectScripture.Name,研读宗门经卷
Cultiway.ControlledTask.Command.StudySectScripture.Description,自动选择一部可访问且适合当前角色的宗门经卷进行研读。
Cultiway.ControlledTask.Command.DoSectChore.Name,处理宗门杂务
Cultiway.ControlledTask.Command.DoSectChore.Description,前往宗门驻地处理当前可执行的日常杂务。
Cultiway.ControlledTask.Command.OrganizeSectScripture.Name,整理宗门经卷
Cultiway.ControlledTask.Command.OrganizeSectScripture.Description,按宗门权限前往驻地整理现有经卷。
