key,cz
cultisys_Knight,骑士
cultisys_Knight_0,侍从
cultisys_Knight_1,骑士邑从
cultisys_Knight_2,正骑士
cultisys_Knight_3,角旗骑士
cultisys_Knight_4,方旗骑士
cultisys_Knight_5,大骑士
cultisys_Knight_6,大地骑士
cultisys_Knight_7,苍穹骑士
cultisys_Knight_8,传奇骑士
cultisys_Knight_9,始祖骑士
cultisys_Knight_0_msg,恭喜 $actor$ 成功突破到$realm$
cultisys_Knight_1_msg,恭喜 $actor$ 成功突破到$realm$
cultisys_Knight_2_msg,恭喜 $actor$ 成功突破到$realm$
cultisys_Knight_3_msg,恭喜 $actor$ 成功突破到$realm$
cultisys_Knight_4_msg,恭喜 $actor$ 成功突破到$realm$
cultisys_Knight_5_msg,恭喜 $actor$ 成功突破到$realm$
cultisys_Knight_6_msg,恭喜 $actor$ 成功突破到$realm$
cultisys_Knight_7_msg,恭喜 $actor$ 成功突破到$realm$
cultisys_Knight_8_msg,恭喜 $actor$ 成功突破到$realm$
cultisys_Knight_9_msg,恭喜 $actor$ 的骑士之路已达极境，血脉就此扎根！
