key,cz
cultisys_Xian,仙道
cultisys_Xian_0,炼气
cultisys_Xian_1,筑基
cultisys_Xian_2,金丹
cultisys_Xian_3,元婴
cultisys_Xian_4,化神
cultisys_Xian_5,炼虚
cultisys_Xian_6,合体
cultisys_Xian_7,大乘
cultisys_Xian_8,渡劫
cultisys_Xian_9,真仙
cultisys_Xian_10,玄仙
cultisys_Xian_11,金仙
cultisys_Xian_12,太乙金仙
cultisys_Xian_13,大罗金仙
cultisys_Xian_14,准圣
cultisys_Xian_15,圣人
cultisys_Xian_16,天尊
cultisys_Xian_17,道祖
cultisys_Xian_18,混元
cultisys_Xian_19,无极
cultisys_Xian_0_msg,凝神始炼气，仙途忘尘心。恭喜 $actor$ 成功突破到$realm$
cultisys_Xian_1_msg,绵绵气如流，意定初筑基。恭喜 $actor$ 成功突破到$realm$
cultisys_Xian_2_msg,三花五气和，盈泰结金丹。恭喜 $actor$ 成功突破到$realm$
cultisys_Xian_3_msg,明心温阳神，紫府凝元婴。恭喜 $actor$ 成功突破到$realm$
cultisys_Xian_4_msg,念引天地气，脱凡通化神。恭喜 $actor$ 成功突破到$realm$
cultisys_Xian_5_msg,形神圆满心魔历，神还太虚谓返虚。恭喜 $actor$ 成功突破到$realm$
cultisys_Xian_6_msg,阳神合体参天地，百炼淬心问仙魔。恭喜 $actor$ 成功突破到$realm$
cultisys_Xian_7_msg,包罗万象诸法证，法相金身登大乘。恭喜 $actor$ 成功突破到$realm$
cultisys_Xian_8_msg,九九天罚道心定，遗世渡劫逆为仙。恭喜 $actor$ 成功突破到$realm$
cultisys_Xian_9_msg,霞举飞升登仙籍，证道太真号真仙。恭喜 $actor$ 成功突破到$realm$
cultisys_Xian_10_msg,玄之又玄众妙门，幽微洞彻证玄仙。恭喜 $actor$ 成功突破到$realm$
cultisys_Xian_11_msg,不朽金身千万劫，大觉金仙照大千。恭喜 $actor$ 成功突破到$realm$
cultisys_Xian_12_msg,太乙道蕴无穷极，金仙至臻入妙境。恭喜 $actor$ 成功突破到$realm$
cultisys_Xian_13_msg,大罗道果超三界，永恒不灭寿无疆。恭喜 $actor$ 成功突破到$realm$
cultisys_Xian_14_msg,半步扶摇触道畔，准圣之境隔一尘。恭喜 $actor$ 成功突破到$realm$
cultisys_Xian_15_msg,证道成圣亘古存，一念之间定乾坤。恭喜 $actor$ 成功突破到$realm$
cultisys_Xian_16_msg,天尊之位临诸天，威加海宇御群仙。恭喜 $actor$ 成功突破到$realm$
cultisys_Xian_17_msg,合道成祖溯渊源，道之始祖化万象。恭喜 $actor$ 成功突破到$realm$
cultisys_Xian_18_msg,混元如一归太极，返本还原入玄门。恭喜 $actor$ 成功突破到$realm$
cultisys_Xian_19_msg,无极之上道圆满，万法归一大逍遥。恭喜 $actor$ 成功突破到$realm$
