key,cz
Cultiway.Stage.0,黄
Cultiway.Stage.1,玄
Cultiway.Stage.2,地
Cultiway.Stage.3,天
Cultiway.Level.0,九品
Cultiway.Level.1,八品
Cultiway.Level.2,七品
Cultiway.Level.3,六品
Cultiway.Level.4,五品
Cultiway.Level.5,四品
Cultiway.Level.6,三品
Cultiway.Level.7,二品
Cultiway.Level.8,一品
Cultiway.ERStyle.Xian.Category,灵根类别
Cultiway.ERStyle.Xian.Components,各组分强度
Cultiway.ERStyle.Xian.Overall,综合评价
Cultiway.ERStyle.Magic.Category,元素亲和
Cultiway.ERStyle.Magic.Components,亲和强度
Cultiway.ERStyle.Magic.Overall,亲和总评
Cultiway.ERStyle.Magic.Stage.0,一环
Cultiway.ERStyle.Magic.Stage.1,二环
Cultiway.ERStyle.Magic.Stage.2,三环
Cultiway.ERStyle.Magic.Stage.3,四环
Cultiway.ERStyle.Magic.Stage.4,五环
Cultiway.ERStyle.Magic.Stage.5,六环
Cultiway.ERStyle.Magic.Stage.6,七环
Cultiway.ERStyle.Magic.Stage.7,八环
Cultiway.ERStyle.Magic.Stage.8,九环
Cultiway.ERStyle.Magic.Stage.9,十环
Cultiway.ERStyle.Magic.Stage.10,十一环
Cultiway.ERStyle.Magic.Stage.11,十二环
Cultiway.ERStyle.Magic.Level.0,星
Cultiway.ERStyle.Magic.Level.1,月
Cultiway.ERStyle.Magic.Level.2,日
Cultiway.CraftWaste.Name.Elixir,废丹
Cultiway.CraftWaste.Name.Elixir.Format,废丹·{0}
Cultiway.CraftWaste.Name.Artifact,废器
Cultiway.CraftWaste.Name.Artifact.Format,废器·{0}
Cultiway.CraftWaste.Tooltip.State,状态
Cultiway.CraftWaste.Tooltip.Failed,炼制失败
Cultiway.CraftWaste.Tooltip.Reason.Interrupted,炼制过程中断，已无法继续或使用
Cultiway.CraftWaste.Tooltip.Reason.IngredientsMissing,炼制材料缺失，已无法继续或使用
