key,cz
Cultiway.Jindan.Common,普通金丹
Cultiway.Jindan.Common.Info,平平无奇的金丹
Cultiway.Jindan.JinHwang,金煌金丹
Cultiway.Jindan.JinHwang.Info,锋锐无双
Cultiway.Jindan.SwordHwang,剑煌金丹
Cultiway.Jindan.SwordHwang.Info,剑气纵横
Cultiway.Jindan.Aoki,青木金丹
Cultiway.Jindan.Aoki.Info,生机盎然，源源不绝
Cultiway.Jindan.Frost,寒霜金丹
Cultiway.Jindan.Frost.Info,冰封万物，灵韵绵长
Cultiway.Jindan.Blaze,烈火金丹
Cultiway.Jindan.Blaze.Info,焚尽诸邪，炽热如阳
Cultiway.Jindan.Bentonite,润土金丹
Cultiway.Jindan.Bentonite.Info,厚载万物，滋养无穷
Cultiway.Jindan.Condensed,凝元金丹
Cultiway.Jindan.Condensed.Info,聚灵归元，稳固本源
Cultiway.Jindan.Phantom,幻影金丹
Cultiway.Jindan.Phantom.Info,虚实相生，变化无穷
Cultiway.Jindan.Dragon,恶龙金丹
Cultiway.Jindan.Dragon.Info,霸道凶煞，威震八荒
