key,cz
StartWeaponSkill,御器术
StartSelfSurroundFireBlade,火刃环绕
StartOutSurroundFireBlade,火环扩散
StartForwardFireBlade,火刃直射
StartAllFireBlade,火刃
StartSelfSurroundGoldBlade,金刃环绕
StartOutSurroundGoldBlade,金环扩散
StartForwardGoldBlade,金刃直射
StartAllGoldBlade,金刃
StartSelfSurroundWaterBlade,水刃环绕
StartOutSurroundWaterBlade,水环扩散
StartForwardWaterBlade,水刃直射
StartAllWaterBlade,水刃
StartSelfSurroundWindBlade,风刃环绕
StartOutSurroundWindBlade,风环扩散
StartForwardWindBlade,风刃直射
StartAllWindBlade,风刃
StartSpecialGoldSword,御剑纵横
StartSelfSurroundGoldSword,御剑环绕
StartForwardGoldSword,御剑直射
StartAllGoldSword,御剑术
Cultiway.GoldSword,金剑
Cultiway.GoldBlade,金刃
Cultiway.WoodThorn,木刺
Cultiway.FallWood,落木
Cultiway.WaterArrow,水箭
Cultiway.WaterBall,水球
Cultiway.WaterBlade,水刃
Cultiway.Fireball,火球
Cultiway.FireBlade,火刃
Cultiway.FallStone,落石
Cultiway.StoneThorn,石刺
Cultiway.WindBlade,风刃
Cultiway.WindPolo,风丸
Cultiway.Tornado,旋风
Cultiway.FallLightning,落雷
Cultiway.LightningPolo,雷丸
Cultiway.SetTrajectory,调整轨迹
Cultiway.SalvoCount,连射数量
Cultiway.BurstCount,齐射数量
