key,cz
IronArmor,金抗性
WoodArmor,木抗性
WaterArmor,水抗性
FireArmor,火抗性
EarthArmor,土抗性
NegArmor,阴抗性
PosArmor,阳抗性
EntropyArmor,同化抗性
IronMaster,金精通
WoodMaster,木精通
WaterMaster,水精通
FireMaster,火精通
EarthMaster,土精通
NegMaster,阴精通
PosMaster,阳精通
EntropyMaster,同化精通
ModIronArmor,金抗性
ModWoodArmor,木抗性
ModWaterArmor,水抗性
ModFireArmor,火抗性
ModEarthArmor,土抗性
ModNegArmor,阴抗性
ModPosArmor,阳抗性
ModEntropyArmor,同化抗性
ModIronMaster,金精通
ModWoodMaster,木精通
ModWaterMaster,水精通
ModFireMaster,火精通
ModEarthMaster,土精通
ModNegMaster,阴精通
ModPosMaster,阳精通
ModEntropyMaster,同化精通
