key,cz
Cultiway.System,系统
trait_Cultiway.PassiveXianCultivate,挂机修仙系统
trait_Cultiway.PassiveXianCultivate_info,“我能有今天的成就全靠自己努力”\n “统子！让我看看你的极限在哪里！”
trait_Cultiway.SignIn,绝世签到系统
trait_Cultiway.SignIn_info,“签到千年我怎么成隐藏老祖了”
trait_Cultiway.Cultivator,求道者
trait_Cultiway.Cultivator_info,摒弃一般凡俗事务，专心求导
trait_Cultiway.OpenSource,“开源精神”
trait_Cultiway.OpenSource_info,感谢CloseAI开源
trait_Cultiway.OpenSource_info_2,感谢马圣开源
culture_trait_Cultiway.CultureSkin,文化衣着
culture_trait_Cultiway.CultureSkin_info,我的衣着我做主
culture_trait_Cultiway.CultureSkin_info_2,该文化单位的衣着将使用文化对应的衣着皮肤
