key,cz
Cultiway.Yuanying.Common,普通元婴
Cultiway.Yuanying.Common.Info,平平无奇的元婴
Cultiway.Yuanying.JinHwang,金煌元婴
Cultiway.Yuanying.JinHwang.Info,锋锐无双
Cultiway.Yuanying.SwordHwang,剑煌元婴
Cultiway.Yuanying.SwordHwang.Info,剑气纵横
Cultiway.Yuanying.Aoki,青木元婴
Cultiway.Yuanying.Aoki.Info,生机盎然，源源不绝
Cultiway.Yuanying.Frost,寒霜元婴
Cultiway.Yuanying.Frost.Info,冰封万物，灵韵绵长
Cultiway.Yuanying.Blaze,烈火元婴
Cultiway.Yuanying.Blaze.Info,焚尽诸邪，炽热如阳
Cultiway.Yuanying.Bentonite,润土元婴
Cultiway.Yuanying.Bentonite.Info,厚载万物，滋养无穷
Cultiway.Yuanying.Condensed,凝元元婴
Cultiway.Yuanying.Condensed.Info,聚灵归元，稳固本源
Cultiway.Yuanying.Phantom,幻影元婴
Cultiway.Yuanying.Phantom.Info,虚实相生，变化无穷
Cultiway.Yuanying.Dragon,恶龙元婴
Cultiway.Yuanying.Dragon.Info,霸道凶煞，威震八荒
